# formatCodes.txt                                        				Steve Moore
# A listing of XDS formatCodes that are valid for documents.
# Leading and trailing white space will be trimmed.
# Any line whose first non white space character is "#" will be ignored as a comment.
# A "#" character and those after it on a line will be considered as a comment
#typeCode	typeCode coding scheme (nominally LOINC)	typeCode Display Name
11369-6	2.16.840.1.113883.6.1	HISTORY OF IMMUNIZATIONS
11488-4	2.16.840.1.113883.6.1	Consultation Note
11502-2	2.16.840.1.113883.6.1	LABORATORY REPORT.TOTAL
11504-8	2.16.840.1.113883.6.1	Surgical Operation Note
11506-3	2.16.840.1.113883.6.1	Subsequent evaluation note
11528-7	2.16.840.1.113883.6.1	Radiology Report
11528-7	2.16.840.1.113883.6.1	Radiology Report
18748-4	2.16.840.1.113883.6.1	Diagnostic Imaging Report
18842-5	2.16.840.1.113883.6.1	Discharge Summarization Note
18842-5	2.16.840.1.113883.6.1	Discharge Summarization Note
26436-6	2.16.840.1.113883.6.1	Laboratory Studies
28568-4	2.16.840.1.113883.6.1	ED Visit Note
28570-0	2.16.840.1.113883.6.1	Procedure Note
28651-8	2.16.840.1.113883.6.1	Nurse Transfer note
34117-2	2.16.840.1.113883.6.1	HISTORY AND PHYSICAL
34117-2	2.16.840.1.113883.6.1	HISTORY AND PHYSICAL
34117-2	2.16.840.1.113883.6.1	History & Physical
34133-9	2.16.840.1.113883.6.1	Summary of Episode Note
34133-9	2.16.840.1.113883.6.1	Summary of Episode Note
34133-9	2.16.840.1.113883.6.1	Summary of Episode Note
34133-9	2.16.840.1.113883.6.1	Summary of Episode Note
34133-9	2.16.840.1.113883.6.1	Summary of Episode Note
34133-9	2.16.840.1.113883.6.1	Summary of Episode Note
34133-9	2.16.840.1.113883.6.1	Summarization of Episode Note
34746-8	2.16.840.1.113883.6.1	Nursing Evaluation and Management Note
34817-7	2.16.840.1.113883.6.1	Otorhinolaryngology Evaluation and Management Note
34895-3	2.16.840.1.113883.6.1	EDUCATION NOTE
55182-0	2.16.840.1.113883.6.1	Quality Measure Report
57016-8	2.16.840.1.113883.6.1	Privacy Policy Acknowledgement Document
57016-8	2.16.840.1.113883.6.1	Privacy Policy Acknowledgement Document
57055-6	2.16.840.1.113883.6.1	Antepartum summary
57056-4	2.16.840.1.113883.6.1	Labor and Delivery admission history and physical
57057-2	2.16.840.1.113883.6.1	Labor and delivery summary
57057-2	2.16.840.1.113883.6.1	Labor and Delivery Summary
57058-0	2.16.840.1.113883.6.1	Maternal Discharge Summary
COMPOSITE TYPECODE	1.3.6.1.4.1.21367.100.1	Composite Triage and Nursing Type COde
DICOM KON TYPECODE	1.3.6.1.4.1.21367.100.1	DICOM Key Object Note Type Code
DSC TYPECODE	1.3.6.1.4.1.21367.100.1	DSC Type Code
EHDI-WD TYPECODE	1.3.6.1.4.1.21367.100.1	EHDI-WD Type Code
ETS TYPECODE	1.3.6.1.4.1.21367.100.1	ETS Type Code
HW TYPECODE	1.3.6.1.4.1.21367.100.1	Healthy Weight Type Code
HWS TYPECODE	1.3.6.1.4.1.21367.100.1	Healthy Weight Summary Type Code
ITS TYPECODE	1.3.6.1.4.1.21367.100.1	ITS Type Code
MS-VRDR TYPECODE	1.3.6.1.4.1.21367.100.1	Medical Summary for VRDR Type Code
NEWBORN DS TYPECODE	1.3.6.1.4.1.21367.100.1	Newborn Discharge Type Code
NN TYPECODE	1.3.6.1.4.1.21367.100.1	Nursing Note Type Code
PCP TYPECODE	1.3.6.1.4.1.21367.100.1	Patient Care Plan Type Code
PPVS TYPECODE	1.3.6.1.4.1.21367.100.1	Post Partum Visit Summary Type Code
PRPH-CA TYPECODE	1.3.6.1.4.1.21367.100.1	Physician Report to Public Health Cancer Registry Type Code
TRIAGE TYPECODE	1.3.6.1.4.1.21367.100.1	Triage Note Type Code
TRS TYPECODE	1.3.6.1.4.1.21367.100.1	TRS Type Code
VRDR TYPECODE	1.3.6.1.4.1.21367.100.1	Vital Records Death Reporting Type Code
XBeR-WD TYPECODE	1.3.6.1.4.1.21367.100.1	XBeR-WD Type Code
XDW-TYPECODE	1.3.6.1.4.1.21367.100.1	XDW Type Code
XTB-WD TYPECODE	1.3.6.1.4.1.21367.100.1	XTB-WD Type Code
XTHM-WD TYPECODE	1.3.6.1.4.1.21367.100.1	XTHM-WD Type Code
